,composer,work,theatre,city,date
2166,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-04
2167,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-04
2168,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Theatre Royal,Glasgow,2002-09-04
2169,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ","Queen Elizabeth Hall, Southbank Centre",London,2002-09-05
2170,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-05
2171,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-05
2172,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-06
2173,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-06
2174,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Opera House Covent Garden,London,2002-09-07
2175,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-07
2176,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-07
2177,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Theatre Royal,Glasgow,2002-09-07
2178,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-09
2179,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Opera House Covent Garden,London,2002-09-10
2180,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-10
2181,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-11
2182,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-11
2183,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-11
2184,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-09-12
2185,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-12
2186,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-12
2187,Wolfgang Amadeus Mozart,"Lo Sposo deluso, 'The Deluded Spouse' K430",St John's Smith Square,London,2002-09-12
2188,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Opera House Covent Garden,London,2002-09-13
2189,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-13
2190,Giacomo Puccini,Tosca ,Leeds Grand Theatre and Opera House,Leeds,2002-09-13
2191,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-14
2192,Johann Strauss II,Die Fledermaus ,New Theatre,Cardiff,2002-09-14
2193,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-14
2194,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-14
2195,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Theatre Royal,Glasgow,2002-09-14
2196,Gioachino Rossini,"La Cenerentola, 'Cinderella' ",Buxton Opera House,Buxton,2002-09-15
2197,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-09-16
2198,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-17
2199,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Opera House Covent Garden,London,2002-09-18
2200,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-09-19
2201,Johann Strauss II,Die Fledermaus ,New Theatre,Cardiff,2002-09-19
2202,Giacomo Puccini,Madama Butterfly ,The Queen's Theatre,Barnstaple,2002-09-19
2203,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-09-20
2204,Giacomo Puccini,Tosca ,Leeds Grand Theatre and Opera House,Leeds,2002-09-20
2205,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Opera House Covent Garden,London,2002-09-21
2206,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-21
2207,Johann Strauss II,Die Fledermaus ,New Theatre,Cardiff,2002-09-21
2208,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Theatre Royal,Glasgow,2002-09-21
2209,Wolfgang Amadeus Mozart,Idomeneo K366,Landmark Arts Centre,Teddington,2002-09-21
2210,Wolfgang Amadeus Mozart,La Clemenza di Tito K621,Royal Opera House Covent Garden,London,2002-09-23
2211,Vincenzo Bellini,Norma ,Cambridge Corn Exchange,Cambridge,2002-09-23
2212,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-09-24
2213,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-09-25
2214,Johann Strauss II,Die Fledermaus ,New Theatre,Cardiff,2002-09-25
2215,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-09-26
2216,Richard Strauss,Ariadne auf Naxos Op 60,Royal Opera House Covent Garden,London,2002-09-26
2217,Giacomo Puccini,Tosca ,New Theatre,Cardiff,2002-09-26
2218,Giacomo Puccini,Tosca ,Leeds Grand Theatre and Opera House,Leeds,2002-09-26
2219,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-09-27
2220,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-09-27
2221,Johann Strauss II,Die Fledermaus ,New Theatre,Cardiff,2002-09-27
2222,Giuseppe Verdi,Aida ,The Anvil,Basingstoke,2002-09-27
2223,Leoš  Janácek,Jenufa ,Leeds Grand Theatre and Opera House,Leeds,2002-09-27
2224,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-09-28
2225,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-09-28
2226,Giacomo Puccini,Tosca ,New Theatre,Cardiff,2002-09-28
2227,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-09-28
2228,Giuseppe Verdi,Aida ,The Anvil,Basingstoke,2002-09-28
2229,Giacomo Puccini,Tosca ,Leeds Grand Theatre and Opera House,Leeds,2002-09-28
2230,Wolfgang Amadeus Mozart,Idomeneo K366,"St James's Church, Piccadilly",London,2002-09-28
2231,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-09-29
2232,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-09-29
2233,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-09-30
2234,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-10-01
2235,Johann Strauss II,Die Fledermaus ,Bristol Hippodrome,Bristol,2002-10-01
2236,Johann Strauss II,Die Fledermaus ,Theatre Royal,Glasgow,2002-10-01
2237,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-10-02
2238,Giacomo Puccini,Tosca ,Bristol Hippodrome,Bristol,2002-10-02
2239,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-10-02
2240,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-10-03
2241,Johann Strauss II,Die Fledermaus ,Bristol Hippodrome,Bristol,2002-10-03
2242,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-10-03
2243,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-10-04
2244,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-10-04
2245,Giacomo Puccini,Tosca ,Bristol Hippodrome,Bristol,2002-10-04
2246,Composer Not Known,Composition Not Known ,The Wharf Arts Centre,Tavistock,2002-10-04
2247,George Gershwin," 
								Excerpts from 'Cosi fan tutte' K588
						",Friends' Meeting House,Manchester,2002-10-04
2248,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-10-05
2249,Ruggiero Leoncavallo,Cavalleria Rusticana ,Royal Albert Hall,London,2002-10-05
2250,Johann Strauss II,Die Fledermaus ,Bristol Hippodrome,Bristol,2002-10-05
2251,Johann Strauss II,Die Fledermaus ,Theatre Royal,Glasgow,2002-10-05
2252,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-10-05
2253,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-10-05
2254,Leoš  Janácek,Jenufa ,Leeds Grand Theatre and Opera House,Leeds,2002-10-05
2255,Richard Wagner,Composition Not Known ,Queen's Hall,Edinburgh,2002-10-05
2256,Vincenzo Bellini,Norma ,Buxton Opera House,Buxton,2002-10-06
2257,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-10-07
2258,Johann Strauss II,Die Fledermaus ,Liverpool Empire Theatre,Liverpool,2002-10-08
2259,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-10-08
2260,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-10-08
2261,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-10-09
2262,Giacomo Puccini,Tosca ,Liverpool Empire Theatre,Liverpool,2002-10-09
2263,Johann Strauss II,Die Fledermaus ,Liverpool Empire Theatre,Liverpool,2002-10-10
2264,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-10-10
2265,Johann Strauss II,Die Fledermaus ,Eden Court Theatre,Inverness,2002-10-10
2266,Giacomo Puccini,Tosca ,Liverpool Empire Theatre,Liverpool,2002-10-11
2267,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-10-11
2268,Pyotr Tchaikovsky,Eugene Onegin ,Glyndebourne Opera House,Lewes,2002-10-11
2269,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Dorking Halls,Dorking,2002-10-11
2270,Giuseppe Verdi,Rigoletto ,Royal Opera House Covent Garden,London,2002-10-12
2271,Johann Strauss II,Die Fledermaus ,Liverpool Empire Theatre,Liverpool,2002-10-12
2272,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-10-12
2273,Richard Strauss,Der Rosenkavalier Op 59,Leeds Grand Theatre and Opera House,Leeds,2002-10-12
2274,Johann Strauss II,Die Fledermaus ,Eden Court Theatre,Inverness,2002-10-12
2275,Giuseppe Verdi,Aida ,"Pavilion Theatre, International Centre",Bournemouth,2002-10-14
2276,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-10-14
2277,Johann Strauss II,Die Fledermaus ,Birmingham Hippodrome,Birmingham,2002-10-15
2278,Alban Berg,Wozzeck Op 7,Royal Opera House Covent Garden,London,2002-10-15
2279,Pyotr Tchaikovsky,Eugene Onegin ,Glyndebourne Opera House,Lewes,2002-10-15
2280,Richard Strauss,Der Rosenkavalier Op 59,Theatre Royal,Nottingham,2002-10-15
2281,Giuseppe Verdi,La Traviata ,St George's Bristol,Bristol,2002-10-15
2282,Giacomo Puccini,Tosca ,Birmingham Hippodrome,Birmingham,2002-10-16
2283,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-10-16
2284,Giacomo Puccini,Tosca ,Theatre Royal,Nottingham,2002-10-16
2285,Johann Strauss II,Die Fledermaus ,Birmingham Hippodrome,Birmingham,2002-10-17
2286,Giacomo Puccini,Turandot ,Royal Opera House Covent Garden,London,2002-10-17
2287,Johann Strauss II,Die Fledermaus ,Edinburgh Festival Theatre,Edinburgh,2002-10-17
2288,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-10-17
2289,Vincenzo Bellini,Norma ,The Anvil,Basingstoke,2002-10-17
2290,Leoš  Janácek,Jenufa ,Theatre Royal,Nottingham,2002-10-17
2291,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2002-10-18
2292,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Barbican Hall,London,2002-10-18
2293,Giacomo Puccini,Tosca ,Birmingham Hippodrome,Birmingham,2002-10-18
2294,Alban Berg,Wozzeck Op 7,Royal Opera House Covent Garden,London,2002-10-18
2295,Pyotr Tchaikovsky,Eugene Onegin ,Glyndebourne Opera House,Lewes,2002-10-18
2296,Giacomo Puccini,Tosca ,Theatre Royal,Nottingham,2002-10-18
2297,Johann Strauss II,Die Fledermaus ,Birmingham Hippodrome,Birmingham,2002-10-19
2298,Giuseppe Verdi,I Masnadieri ,Royal Opera House Covent Garden,London,2002-10-19
2299,Johann Strauss II,Die Fledermaus ,Edinburgh Festival Theatre,Edinburgh,2002-10-19
2300,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-10-19
2301,Richard Strauss,Der Rosenkavalier Op 59,Theatre Royal,Nottingham,2002-10-19
2302,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Barbican Hall,London,2002-10-20
2303,Sir Arthur Sullivan,The Pirates of Penzance (or The Slave of Duty) ,Guildhall Theatre,Derby,2002-10-20
2304,Alban Berg,Wozzeck Op 7,Royal Opera House Covent Garden,London,2002-10-21
2305,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-10-21
2306,Giuseppe Verdi,Aida ,King George's Hall,Blackburn,2002-10-22
2307,Pyotr Tchaikovsky,Eugene Onegin ,Glyndebourne Opera House,Lewes,2002-10-22
2308,Giacomo Puccini,Madama Butterfly ,New Theatre,Oxford,2002-10-23
2309,Alban Berg,Wozzeck Op 7,Royal Opera House Covent Garden,London,2002-10-23
2310,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-10-23
2311,Giacomo Puccini,Tosca ,Hull New Theatre,Kingston upon Hull,2002-10-23
2312,Johann Strauss II,Die Fledermaus ,New Theatre,Oxford,2002-10-24
2313,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-10-24
2314,Johann Strauss II,Die Fledermaus ,His Majesty's Theatre,Aberdeen,2002-10-24
2315,Leoš  Janácek,Jenufa ,Hull New Theatre,Kingston upon Hull,2002-10-24
2316,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-10-24
2317,Giacomo Puccini,Tosca ,New Theatre,Oxford,2002-10-25
2318,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-10-25
2319,Giacomo Puccini,Tosca ,Hull New Theatre,Kingston upon Hull,2002-10-25
2320,Sigmund Romberg," 
								Excerpts from 'Die Fledermaus' 
						",Buxton Opera House,Buxton,2002-10-25
2321,Giuseppe Verdi,Aida ,Warwick Arts Centre,Coventry,2002-10-25
2322,Giuseppe Verdi," 
								Quartet from 'Rigoletto' 
						","St George's Church, Dunster",Minehead,2002-10-25
2323,Johann Strauss II,Die Fledermaus ,New Theatre,Oxford,2002-10-26
2324,Giuseppe Verdi,Aida ,Cambridge Corn Exchange,Cambridge,2002-10-26
2325,Alban Berg,Wozzeck Op 7,Royal Opera House Covent Garden,London,2002-10-26
2326,Pyotr Tchaikovsky,Eugene Onegin ,Glyndebourne Opera House,Lewes,2002-10-26
2327,Johann Strauss II,Die Fledermaus ,His Majesty's Theatre,Aberdeen,2002-10-26
2328,Richard Strauss,Der Rosenkavalier Op 59,Hull New Theatre,Kingston upon Hull,2002-10-26
2329,Sigmund Romberg," 
								Excerpts from 'Die Fledermaus' 
						",Buxton Opera House,Buxton,2002-10-26
2330,Carl Orff,Carmina Burana ,The Royal Hall,Harrogate,2002-10-26
2331,Vincenzo Bellini,Norma ,Royal Albert Hall,London,2002-10-28
2332,Giacomo Puccini,Madama Butterfly ,Grand Opera House,Belfast,2002-10-29
2333,Georges Bizet,Carmen ,Theatre Royal Plymouth,Plymouth,2002-10-29
2334,Giuseppe Verdi,Aida ,Royal & Derngate,Northampton,2002-10-29
2335,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-10-29
2336,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Barbican Hall,London,2002-10-30
2337,Johann Strauss II,Die Fledermaus ,Grand Opera House,Belfast,2002-10-30
2338,Pyotr Tchaikovsky,Eugene Onegin ,Theatre Royal Plymouth,Plymouth,2002-10-30
2339,Composer Not Known,Composition Not Known ,Buxton Opera House,Buxton,2002-10-30
2340,Giuseppe Verdi,Aida ,De Montfort Hall,Leicester,2002-10-31
2341,Giacomo Puccini,Madama Butterfly ,Grand Opera House,Belfast,2002-10-31
2342,Alban Berg,Wozzeck Op 7,Royal Opera House Covent Garden,London,2002-10-31
2343,Benjamin Britten,Albert Herring Op 39,Theatre Royal Plymouth,Plymouth,2002-10-31
2344,Sir William Walton,Troilus and Cressida ,Leeds Town Hall,Leeds,2002-10-31
2345,Leoš  Janácek,The Cunning Little Vixen ,Buxton Opera House,Buxton,2002-10-31
2346,Johann Strauss II,Die Fledermaus ,Grand Opera House,Belfast,2002-11-01
2347,Georges Bizet,Carmen ,Theatre Royal Plymouth,Plymouth,2002-11-01
2348,Wolfgang Amadeus Mozart,Don Giovanni K 527,Buxton Opera House,Buxton,2002-11-01
2349,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-11-01
2350,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Barbican Hall,London,2002-11-02
2351,Giacomo Puccini,Madama Butterfly ,Grand Opera House,Belfast,2002-11-02
2352,Giacomo Meyerbeer,Margherita d'Anjou ,Royal Festival Hall,London,2002-11-02
2353,Pyotr Tchaikovsky,Eugene Onegin ,Theatre Royal Plymouth,Plymouth,2002-11-02
2354,Wolfgang Amadeus Mozart,Don Giovanni K 527,Buxton Opera House,Buxton,2002-11-02
2355,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-11-04
2356,Johann Strauss II,Die Fledermaus ,The Mayflower,Southampton,2002-11-05
2357,Georges Bizet,Carmen ,Milton Keynes Theatre,Milton Keynes,2002-11-05
2358,Richard Strauss,Der Rosenkavalier Op 59,The Lowry,Salford Quays,2002-11-05
2359,Giacomo Puccini,Tosca ,The Mayflower,Southampton,2002-11-06
2360,Pyotr Tchaikovsky,Eugene Onegin ,Milton Keynes Theatre,Milton Keynes,2002-11-06
2361,Leoš  Janácek,Jenufa ,The Lowry,Salford Quays,2002-11-06
2362,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-11-06
2363,Giacomo Puccini,Madama Butterfly ,The Mayflower,Southampton,2002-11-07
2364,Benjamin Britten,Albert Herring Op 39,Milton Keynes Theatre,Milton Keynes,2002-11-07
2365,Giacomo Puccini,Tosca ,The Lowry,Salford Quays,2002-11-07
2366,George Frideric Handel,"Serse, 'Xerxes' HWV40",The London Coliseum,London,2002-11-07
2367,Johann Strauss II,Die Fledermaus ,The Mayflower,Southampton,2002-11-08
2368,Georges Bizet,Carmen ,Milton Keynes Theatre,Milton Keynes,2002-11-08
2369,Sir William Walton,Troilus and Cressida ,The Lowry,Salford Quays,2002-11-08
2370,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-11-08
2371,Giacomo Puccini,Tosca ,The Mayflower,Southampton,2002-11-09
2372,Pyotr Tchaikovsky,Eugene Onegin ,Milton Keynes Theatre,Milton Keynes,2002-11-09
2373,Richard Strauss,Der Rosenkavalier Op 59,The Lowry,Salford Quays,2002-11-09
2374,George Frideric Handel,"Serse, 'Xerxes' HWV40",The London Coliseum,London,2002-11-09
2375,Giacomo Puccini,Madama Butterfly ,"Pavilion Theatre, International Centre",Bournemouth,2002-11-11
2376,Johann Strauss II,Die Fledermaus ,Swansea Grand Theatre,Swansea,2002-11-12
2377,Richard Wagner,"Die Meistersinger von Nürnberg, 'The Mastersingers of Nuremburg' ",Royal Opera House Covent Garden,London,2002-11-12
2378,Giuseppe Verdi,Aida ,"Belfast Waterfront, Main Auditorium",Belfast,2002-11-12
2379,Georges Bizet,Carmen ,Theatre Royal,Norwich,2002-11-12
2380,Giacomo Puccini,Tosca ,Theatre Royal,Newcastle upon Tyne,2002-11-12
2381,Gioachino Rossini,"Il Barbiere di Siviglia, 'The Barber of Seville' ",The London Coliseum,London,2002-11-12
2382,Giacomo Puccini,Madama Butterfly ,Symphony Hall,Birmingham,2002-11-12
2383,Giacomo Puccini,Tosca ,Swansea Grand Theatre,Swansea,2002-11-13
2384,Pyotr Tchaikovsky,Eugene Onegin ,Theatre Royal,Norwich,2002-11-13
2385,Richard Strauss,Der Rosenkavalier Op 59,Theatre Royal,Newcastle upon Tyne,2002-11-13
2386,Giacomo Puccini,Madama Butterfly ,Swansea Grand Theatre,Swansea,2002-11-14
2387,Benjamin Britten,Albert Herring Op 39,Theatre Royal,Norwich,2002-11-14
2388,Giacomo Puccini,Tosca ,Theatre Royal,Newcastle upon Tyne,2002-11-14
2389,George Frideric Handel,"Serse, 'Xerxes' HWV40",The London Coliseum,London,2002-11-14
2390,Nigel Osborne,The Electrification of the Soviet Union ,Crescent Theatre,Birmingham,2002-11-14
2391,Henry Purcell,"Come ye sons of art away, Birthday Ode for Mary II Z323",Symphony Hall,Birmingham,2002-11-15
2392,Giuseppe Verdi,Aida ,Caird Hall,Dundee,2002-11-15
2393,Richard Wagner,"Die Meistersinger von Nürnberg, 'The Mastersingers of Nuremburg' ",Royal Opera House Covent Garden,London,2002-11-15
2394,Johann Strauss II,Die Fledermaus ,Swansea Grand Theatre,Swansea,2002-11-15
2395,Georges Bizet,Carmen ,Theatre Royal,Norwich,2002-11-15
2396,Richard Strauss,Der Rosenkavalier Op 59,Theatre Royal,Newcastle upon Tyne,2002-11-15
2397,Giacomo Puccini,Madama Butterfly ,Buxton Opera House,Buxton,2002-11-15
2398,Giacomo Puccini,Tosca ,Swansea Grand Theatre,Swansea,2002-11-16
2399,Pyotr Tchaikovsky,Eugene Onegin ,Theatre Royal,Norwich,2002-11-16
2400,Giacomo Puccini,Tosca ,Theatre Royal,Newcastle upon Tyne,2002-11-16
2401,George Frideric Handel,"Serse, 'Xerxes' HWV40",The London Coliseum,London,2002-11-16
2402,Giuseppe Verdi,Aida ,Grimsby Auditorium,Grimsby,2002-11-17
2403,Giuseppe Verdi,Aida ,Royal Concert Hall,Glasgow,2002-11-18
2404,Giacomo Puccini,Madama Butterfly ,The Bridgewater Hall,Manchester,2002-11-18
