,country,city,venue,dates,composer,work,listing_url
358,Austria,Salzburg,Großes Festspielhaus,"August 23 19:00, August 26 15:00","Bizet, Georges (1838-1875)",Les Pêcheurs de perles (The Pearl Fishers),https://bachtrack.com/opera-listing/grosses-festspielhaus/les-pecheurs-de-perles-the-pearl-fishers/23-august-2018/19-00
359,Latvia,Riga,Latvian National Opera,"August 23, October 28 at 19:00","Donizetti, Gaetano (1797-1848)",Don Pasquale,https://bachtrack.com/opera-listing/latvian-national-opera/don-pasquale/23-august-2018/19-00
360,United Kingdom,Edinburgh,Edinburgh Festival Theatre,"August 24, 25, 26 at 19:15","Rossini, Gioachino (1792-1868)",La Cenerentola (Cinderella),https://bachtrack.com/opera-listing/edinburgh-festival-theatre/la-cenerentola/24-august-2018/19-15
361,Germany,Berlin,Deutsche Oper,"August 25, 26, October 31, November 23, 2019 January 18, 30, April 06, May 16, June 01 at 19:30","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/deutsche-oper/die-zauberflote/25-august-2018/19-30
362,United Kingdom,London,Royal Albert Hall,On Saturday 25 August 2018 at 19:30,"Bernstein, Leonard (1918-1990)",On the Town,https://bachtrack.com/opera-listing/royal-albert-hall/prom-57-john-wilson-conducts-bernstein-on-the-town/25-august-2018/19-30
363,Germany,Frankfurt am Main,Oper Frankfurt,"August 25 18:00, September 01 19:00, September 08 18:00, September 15 19:00, September 21 19:00, September 29 19:00, December 19 19:00, December 23 14:00, 19:00, December 25 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/oper-frankfurt/die-zauberflote/25-august-2018/18-00
364,Italy,Venice,Teatro La Fenice,"August 25 19:00, September 01 15:30, September 06 19:00, September 09 15:30, September 13 19:00, September 16 15:30, September 18 19:00, September 21 19:00, September 28 19:00, September 30 15:30, October 05 19:00, October 07 15:30, October 09 19:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/teatro-la-fenice/la-traviata/25-august-2018/19-00
365,Australia,Dubbo,Dubbo Regional Theatre,On Saturday 25 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/dubbo-regional-theatre/madame-butterfly/25-august-2018/19-30
366,Australia,Orange,Orange Civic Theatre,On Tuesday 28 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/orange-civic-theatre/madama-butterfly/28-august-2018/19-30
367,United Kingdom,Tunbridge Wells,Assembly Hall Theatre,On Wednesday 29 August 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/assembly-hall-theatre/carmen/29-august-2018/19-30
368,Germany,Berlin,Deutsche Oper,"August 30 19:30, September 13 19:30, September 21 19:30, September 27 19:30, December 13 19:30, December 16 18:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/deutsche-oper/la-traviata/30-august-2018/19-30
369,United Kingdom,Coventry,Belgrade Theatre,On Thursday 30 August 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/belgrade-theatre/carmen/30-august-2018/19-30
370,Australia,Wagga Wagga,Wagga Wagga Civic Theatre,On Thursday 30 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/wagga-wagga-civic-theatre/madame-butterfly/30-august-2018/19-30
371,Germany,Berlin,Deutsche Oper,"August 31 19:30, September 22 19:30, December 30 18:00, 2019 January 02 19:30, January 17 19:30, May 20 19:30","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/deutsche-oper/il-barbiere-di-siviglia/31-august-2018/19-30
372,United Kingdom,Coventry,Belgrade Theatre,On Friday 31 August 2018 at 19:30,"Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/belgrade-theatre/la-traviata/31-august-2018/19-30
373,United Kingdom,London,Alexandra Palace Theatre,On Saturday  1 September 2018 at 15:00,"Sullivan, Arthur (1842-1900)",Trial by Jury,https://bachtrack.com/concert-listing/alexandra-palace-theatre/proms-at-alexandra-palace-trial-by-jury/01-september-2018/15-00
374,Australia,Wangaratta,Wangaratta Performing Arts Centre,On Saturday  1 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/wangaratta-performing-arts-centre/madama-butterfly/01-september-2018/19-30
375,United Kingdom,Scarborough,Scarborough Spa,On Saturday  1 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/scarborough-spa/madama-butterfly/01-september-2018/19-30
376,United Kingdom,London,Wilton's Music Hall,"September 03 19:30, September 04 19:30, September 05 19:30, September 07 19:30, September 08 14:00","Britten, Benjamin (1913-1976)",Paul Bunyan,https://bachtrack.com/opera-listing/wiltons-music-hall/paul-bunyan/03-september-2018/19-30
377,United Kingdom,Harrogate,Harrogate Theatre,On Monday  3 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/harrogate-theatre/carmen/03-september-2018/19-30
378,Netherlands,Amsterdam,Dutch National Opera and Ballet,"September 04, 07, 09 14:00, 12, 14, 17, 19, 23 14:00, 26, 29 (at 19:30 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/dutch-national-opera-and-ballet/die-zauberflote/04-september-2018/19-30
379,Australia,Albury,Albury Entertainment Centre,On Tuesday  4 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/albury-entertainment-centre/madama-butterfly/04-september-2018/19-30
380,United Kingdom,Harrogate,Harrogate Theatre,On Tuesday  4 September 2018 at 19:30,"Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/harrogate-theatre/la-traviata/04-september-2018/19-30
381,United Kingdom,Swindon,Swindon Wyvern Theatre,On Wednesday  5 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/swindon-wyvern-theatre/carmen/05-september-2018/19-30
382,Germany,Berlin,Deutsche Oper,"September 06, 07, 09, 10 at 19:30","Berlioz, Hector (1803-1869)","Roméo et Juliette, choral symphony",https://bachtrack.com/dance-listing/deutsche-oper/romeo-and-juliet/06-september-2018/19-30
383,Austria,Vienna,Staatsoper,"September 06, 09, 12 at 00:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/staatsoper/carmen/06-september-2018/00-00
384,Australia,Canberra,Canberra Theatre Centre,"September 06 19:30, September 07 19:30, September 08 13:00, 19:30","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/canberra-theatre-centre/madama-butterfly/06-september-2018/19-30
385,United Kingdom,Weymouth,Weymouth Pavilion,On Thursday  6 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/weymouth-pavilion/madama-butterfly/06-september-2018/19-30
386,Austria,Vienna,Staatsoper,"September 07, 10, 13 at 00:00","Strauss, Richard (1864-1949)",Ariadne auf Naxos,https://bachtrack.com/opera-listing/staatsoper/ariadne-auf-naxos/07-september-2018/00-00
387,United Kingdom,London,Royal Albert Hall,On Friday  7 September 2018 at 19:00,"Handel, George Frideric (1685-1759)",Theodora,https://bachtrack.com/opera-listing/royal-albert-hall/prom-74-handel-theodora/07-september-2018/19-00
388,Germany,Frankfurt am Main,Oper Frankfurt,"September 07 18:00, September 13 19:00, September 21 18:00, September 27 18:00, September 28 19:00","Dvořák, Antonín (1841-1904)",Rusalka,https://bachtrack.com/opera-listing/oper-frankfurt/rusalka/07-september-2018/18-00
389,United States,San Francisco,War Memorial Opera House,"September 07 20:00, September 12 19:30, September 16 14:00, September 19 19:30, September 22 19:30, September 28 19:30, September 30 14:00","Mascagni, Pietro (1863-1945)",Cavalleria rusticana,https://bachtrack.com/opera-listing/war-memorial-opera-house/cavalleria-rusticana-pagliacci/07-september-2018/20-00
390,United States,San Francisco,War Memorial Opera House,"September 07 20:00, September 12 19:30, September 16 14:00, September 19 19:30, September 22 19:30, September 28 19:30, September 30 14:00","Leoncavallo, Ruggero (1857-1919)",Pagliacci,https://bachtrack.com/opera-listing/war-memorial-opera-house/cavalleria-rusticana-pagliacci/07-september-2018/20-00
391,Poland,Wrocław,National Forum of Music: Main Hall,On Friday  7 September 2018 at 19:00,"Szymanowski, Karol (1882-1937)","King Roger, (Król Roger) Op.46",https://bachtrack.com/opera-listing/national-forum-of-music-main-hall/krol-roger/07-september-2018/19-00
392,United Kingdom,Yeovil,Yeovil Octagon Theatre,On Friday  7 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/yeovil-octagon-theatre/madama-butterfly/07-september-2018/19-30
393,Latvia,Riga,Latvian National Opera,"September 08, October 11 at 19:00","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/latvian-national-opera/turandot/08-september-2018/19-00
394,Germany,Berlin,Komische Oper Berlin,"September 08 19:30, September 23 11:00, 19:00, September 28 11:00, 19:30, October 19 19:30, October 21 14:00, 19:00, October 30 19:30, November 04 19:30","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/komische-oper-berlin/die-zauberflote-the-magic-flute/08-september-2018/19-30
395,Austria,Vienna,Staatsoper,"September 08, 11, 14 at 00:00","Weber, Carl Maria von (1786-1826)",Der Freischütz,https://bachtrack.com/opera-listing/staatsoper/der-freischutz/08-september-2018/00-00
396,Germany,Berlin,Deutsche Oper,"September 08 19:30, September 12 19:30, September 14 19:30, December 23 18:00, December 28 19:30","Verdi, Giuseppe (1813-1901)",Nabucco,https://bachtrack.com/opera-listing/deutsche-oper/nabucco/08-september-2018/19-30
397,Netherlands,Amsterdam,Concertgebouw: Main Hall,On Saturday  8 September 2018 at 12:00,"Mussorgsky, Modest Petrovich (1839-1881)",Boris Godunov,https://bachtrack.com/opera-listing/concertgebouw-main-hall/boris-godunov/08-september-2018/12-00
398,United States,San Francisco,War Memorial Opera House,"September 08 19:30, September 11 19:30, September 14 19:30, September 18 19:30, September 23 14:00, September 27 19:30","Donizetti, Gaetano (1797-1848)",Roberto Devereux,https://bachtrack.com/opera-listing/war-memorial-opera-house/roberto-devereux/08-september-2018/19-30
399,United Kingdom,High Wycombe,Wycombe Swan,On Saturday  8 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/wycombe-swan/carmen/08-september-2018/19-30
400,Germany,Leipzig,Opernhaus,"September 09 18:00, September 22 19:00, 2019 January 25 19:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/opernhaus/die-hochzeit-des-figaro/09-september-2018/18-00
401,Germany,Frankfurt am Main,Oper Frankfurt,"September 09 18:00, September 12 19:30, September 14 19:30, September 20 19:30, September 23 15:30, September 30 19:30, October 03 18:00","Eötvös, Peter (b. 1944)",Tri Sestri,https://bachtrack.com/opera-listing/oper-frankfurt/tri-sestri/09-september-2018/18-00
402,United Kingdom,Portsmouth,New Theatre Royal,On Sunday  9 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/new-theatre-royal/carmen/09-september-2018/19-30
403,Switzerland,Geneva,L'Opéra des Nations,"September 10, 12, 14, 16 15:00, 18, 20, 24, 26, 27 (at 19:30 unless shown)","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/lopera-des-nations/carmen/10-september-2018/19-30
404,United Kingdom,Guildford,Yvonne Arnaud Theatre,On Monday 10 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/yvonne-arnaud-theatre/madama-butterfly/10-september-2018/19-30
405,France,Paris,Opéra Bastille,"September 11, 16 14:00, 19, 22, 27, 30 14:00, October 03, 06, 09 (at 18:00 unless shown)","Wagner, Richard (1813-1883)",Tristan und Isolde,https://bachtrack.com/opera-listing/opera-bastille/tristan-und-isolde/11-september-2018/18-00
406,United Kingdom,Guildford,Yvonne Arnaud Theatre,On Tuesday 11 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/yvonne-arnaud-theatre/carmen/11-september-2018/19-30
407,Australia,Burnie,Burnie Arts and Function Centre,On Wednesday 12 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/burnie-arts-and-function-centre/madame-butterfly/12-september-2018/19-30
408,United Kingdom,Crawley,Hawth Theatre,On Wednesday 12 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/hawth-theatre/carmen/12-september-2018/19-30
409,New Zealand,Auckland,Aotea Centre: ASB Auditorium,"September 13 19:30, September 15 19:30, September 19 19:30, September 21 19:30, September 23 14:30","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/aotea-centre-asb-auditorium/la-boheme/13-september-2018/19-30
410,Canada,Halifax,Lilian Piercey Concert Hall,On Friday 14 September 2018 at 19:00,"Debussy, Claude (1862-1918)",Piano Trio in G major,https://bachtrack.com/concert-listing/lilian-piercey-concert-hall/measha-brueggergosman-classica-vocem/14-september-2018/19-00
411,Canada,Halifax,Lilian Piercey Concert Hall,On Friday 14 September 2018 at 19:00,"Chausson, Ernest (1855-1899)","Chanson perpétuelle, for voice, strings and piano, Op.37",https://bachtrack.com/concert-listing/lilian-piercey-concert-hall/measha-brueggergosman-classica-vocem/14-september-2018/19-00
412,Canada,Halifax,Lilian Piercey Concert Hall,On Friday 14 September 2018 at 19:00,"Strauss, Richard (1864-1949)",Vier letzte Lieder (Four Last Songs),https://bachtrack.com/concert-listing/lilian-piercey-concert-hall/measha-brueggergosman-classica-vocem/14-september-2018/19-00
413,Russia,Moscow,Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre: Main Stage,"September 14, 15, 16 at 19:00","Prokofiev, Sergei (1891-1953)",War and Peace,https://bachtrack.com/opera-listing/stanislavsky-and-nemirovich-danchenko-moscow-music-theatre-main-stage/war-and-peace/14-september-2018/19-00
414,Australia,Hobart,Theatre Royal,"September 14, 15 at 19:30","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/theatre-royal-913/madama-butterfly/14-september-2018/19-30
415,United Kingdom,Eastbourne,Eastbourne Congress Theatre,On Friday 14 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/eastbourne-congress-theatre/madama-butterfly/14-september-2018/19-30
416,Germany,Berlin,Komische Oper Berlin,"September 15, 21, October 07 19:00, 26, November 09, 26, 27, December 11, 15, 20, 26, 2019 January 06 19:00, 18, 30, February 07 (at 19:30 unless shown)","Bock, Jerry (1928-2010)",Fiddler on the Roof,https://bachtrack.com/opera-listing/komische-oper-berlin/anatevka-fiddler-on-the-roof/15-september-2018/19-30
417,Latvia,Riga,Latvian National Opera,On Saturday 15 September 2018 at 19:00,"Stravinsky, Igor (1882-1971)",The Rake's Progress,https://bachtrack.com/opera-listing/latvian-national-opera/the-rakes-progress/15-september-2018/19-00
418,Canada,Montreal,Place des Arts: Salle Wilfrid-Pelletier,"September 15, 18, 20, 22 at 19:30","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/place-des-arts-salle-wilfrid-pelletier/rigoletto/15-september-2018/19-30
419,Austria,Vienna,Theater an der Wien,"September 15, 17, 19, 22, 24, 26 at 19:00","Handel, George Frideric (1685-1759)",Alcina,https://bachtrack.com/opera-listing/theater-an-der-wien/alcina/15-september-2018/19-00
420,United Kingdom,Leeds,Leeds Grand Theatre,"September 16 15:00, 22, 28, October 03, 05, 11, 13 (at 19:30 unless shown)","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/leeds-grand-theatre/tosca/16-september-2018/15-00
421,Austria,Vienna,Staatsoper,"September 16, 20, 23 at 00:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/staatsoper/la-traviata/16-september-2018/00-00
422,Belgium,Liège,Opéra Royal de Wallonie-Liège,"September 16 15:00, September 19 20:00, September 22 20:00, September 25 20:00, September 28 20:00","Verdi, Giuseppe (1813-1901)",Il trovatore,https://bachtrack.com/opera-listing/opera-royal-de-wallonie-liege/il-trovatore/16-september-2018/15-00
423,United Kingdom,Saffron Walden,Saffron Hall,On Sunday 16 September 2018 at 14:30,"Wagner, Richard (1813-1883)",Parsifal,https://bachtrack.com/opera-listing/saffron-hall/parsifal/16-september-2018/14-30
424,United Kingdom,London,Cadogan Hall,On Sunday 16 September 2018 at 18:00,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/cadogan-hall/russian-state-opera-presents-carmen/16-september-2018/18-00
425,United Kingdom,Basildon,Towngate Theatre,On Monday 17 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/towngate-theatre/carmen/17-september-2018/19-30
426,Belgium,Brussels,La Monnaie | De Munt: Grand Hall,"September 18, 20, 21, 23 15:00, 25, 26, 27, 28, 30 15:00, October 02, 03 (at 20:00 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/la-monnaie-de-munt-grand-hall/die-zauberflote/18-september-2018/20-00
427,Australia,Launceston,Princess Theatre,On Tuesday 18 September 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/princess-theatre-1/madame-butterfly/18-september-2018/19-30
428,United Kingdom,Sheffield,Sheffield City Hall: Irwin Mitchell Oval Hall,On Tuesday 18 September 2018 at 19:30,"Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/sheffield-city-hall-irwin-mitchell-oval-hall/carmen/18-september-2018/19-30
429,Spain,Madrid,Teatro Real,"September 19, 20, 22, 23, 24, 27, 28, 30, October 01, 03, 04, 06, 07 18:00 (at 20:00 unless shown)","Gounod, Charles-Francois (1818-1893)",Faust,https://bachtrack.com/opera-listing/teatro-real/faust/19-september-2018/20-00
